장태무,컴퓨터구조,3184
오세만,데이터베이스,6119
최은만,형식언어,5145
김준태,운영체제,
안종석,컴퓨터알고리즘,
이용규,자료구조,
이강우,공개SW프로젝트,
문봉교,컴퓨터그래픽스,
정진우,,
홍정모,,
손윤식,,
주종화,,
주해종,,
