교과목명,학점,강의실,담당교원
"컴퓨터알고리즘과실습	3	""401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))""	정진우",,
"컴퓨터알고리즘과실습	3	""401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)""	주종화",,
"컴퓨터알고리즘과실습	3	""401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)""	주종화",,
"형식언어	3	""401-5145(신공학관(기숙사) 5145 강의실)","401-5145(신공학관(기숙사) 5145 강의실)""	손윤식",,
"형식언어	3	""401-5145(신공학관(기숙사) 5145 강의실)","401-5145(신공학관(기숙사) 5145 강의실)""	손윤식",,
"형식언어	3	""401-10144(신공학관(기숙사) 10144 컴퓨터공학과 세미나실2)","401-10144(신공학관(기숙사) 10144 컴퓨터공학과 세미나실2)""	손윤식",,
"운영체제	3	""401-5145(신공학관(기숙사) 5145 강의실)","401-5145(신공학관(기숙사) 5145 강의실)""	이강우",,
"운영체제	3	""401-5145(신공학관(기숙사) 5145 강의실)","401-5145(신공학관(기숙사) 5145 강의실)""	정준호",,
"데이터베이스시스템	3	""401-5145(신공학관(기숙사) 5145 강의실)","401-5145(신공학관(기숙사) 5145 강의실)""	박미화",,
"데이터베이스시스템	3	401-5145(신공학관(기숙사) 5145 강의실)	송양의",,,
"컴퓨터네트워킹	3	""401-6144(신공학관(기숙사) 6144 강의실)","401-6144(신공학관(기숙사) 6144 강의실)""	김동호",,
"컴퓨터보안	3	""401-5145(신공학관(기숙사) 5145 강의실)","401-5145(신공학관(기숙사) 5145 강의실)""	문봉교",,
"객체지향설계와패턴	3	""401-10144(신공학관(기숙사) 10144 컴퓨터공학과 세미나실2)","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)""	최은만",,
